# 鳥
U+9CE5	鳥	⿹{hkcs-9ce5-c01}灬
# hkcs_m9ce5-p02-s01
U+9CF0	鳰	⿰入鳥
U+9CF4	鳴	⿰口鳥
U+9CFB	鳻	⿰分鳥
U+9CFC	鳼	⿰文鳥
U+9D00	鴀	⿰不鳥
U+9D0B	鴋	⿰方鳥
U+9D17	鴗	⿰立鳥
U+9D18	鴘	⿰弁鳥
U+9D20	鴠	⿰旦鳥
U+9D33	鴳	⿰安鳥
U+9D46	鵆	⿲彳鳥亍
U+9D50	鵐	⿰巫鳥
U+9D53	鵓	⿰孛鳥
U+9D76	鵶	⿰亞鳥
U+9D7C	鵼	⿰空鳥
U+9D86	鶆	⿰來鳥
U+9D87	鶇	⿰東鳥
U+9D9C	鶜	⿰茅鳥
U+9DAA	鶪	⿰狊鳥
U+9DBD	鶽	⿰隼鳥
U+9DE8	鷨	⿰華鳥
U+9E0A	鸊	⿰辟鳥
U+9E0B	鸋	⿰寧鳥
U+9E1A	鸚	⿰嬰鳥
U+4CB9	䲹	⿰丕鳥
U+4CBC	䲼	⿰生鳥
U+4CDB	䳛	⿰妟鳥
U+29FD7	𩿗	⿰予鳥
U+29FEC	𩿬	⿰由鳥
U+2A029	𪀩	⿰多鳥
U+2A04F	𪁏	⿰岑鳥
U+2A05F	𪁟	⿰含鳥
U+2A0B9	𪂹	⿰春鳥
U+2A0CB	𪃋	⿰垔鳥
U+2A0E6	𪃦	⿰眇鳥
U+2A0EE	𪃮	⿰屋鳥
U+2A11C	𪄜	⿰師鳥
U+2A169	𪅩	⿰參鳥
U+2A1B1	𪆱	⿰𨥫鳥
U+2A1D3	𪇓	⿰夢鳥
U+2A1EC	𪇬	⿰與鳥
U+2A214	𪈔	⿰學鳥
U+2A230	𪈰	⿰羅鳥
U+2B6BB	𫚻	⿰好鳥
U+2B6C4	𫛄	⿰步鳥
U+2CDBC	𬶼	⿰了鳥

# hkcs_m9ce5-p02-s02
U+5D8B	嶋	⿰山鳥
U+6A22	樢	⿰木鳥
U+6BA6	殦	⿰歹鳥
U+7797	瞗	⿰目鳥
U+969D	隝	⿰阝鳥
U+9CE9	鳩	⿰九鳥
U+9CEA	鳪	⿰卜鳥
U+9CFA	鳺	⿰夫鳥
U+9CFF	鳿	⿰王鳥
U+9D07	鴇	⿰𠤏鳥
U+9D12	鴒	⿰令鳥
U+9D23	鴣	⿰古鳥
U+9D28	鴨	⿰甲鳥
U+9D2B	鴫	⿰田鳥
U+9D3B	鴻	⿰江鳥
U+9D41	鵁	⿰交鳥
U+9D44	鵄	⿰至鳥
U+9D55	鵕	⿰夋鳥
U+9D56	鵖	⿰皀鳥
U+9D5C	鵜	⿰弟鳥
U+9D6B	鵫	⿰卓鳥
U+9D6D	鵭	⿰金鳥
U+9D71	鵱	⿰坴鳥
U+9D81	鶁	⿰京鳥
U+9D89	鶉	⿰享鳥
U+9D9A	鶚	⿰咢鳥
U+9D9B	鶛	⿰皆鳥
U+9DAB	鶫	⿰柬鳥
U+9DB7	鶷	⿰害鳥
U+9DDA	鷚	⿰翏鳥
U+9DDC	鷜	⿰婁鳥
U+9DE3	鷣	⿰覃鳥
U+9E07	鸇	⿰亶鳥
U+4CAD	䲭	⿰氏鳥
U+4CE5	䳥	⿰岺鳥
U+4CE9	䳩	⿰要鳥
U+4CFE	䳾	⿰登鳥
U+4D02	䴂	⿰象鳥
U+2A02F	𪀯	⿰光鳥
U+2A05E	𪁞	⿰豆鳥
U+2A0CF	𪃏	⿰某鳥
U+2A116	𪄖	⿰耆鳥
U+2A142	𪅂	⿰章鳥
U+2A14B	𪅋	⿲阝夌鳥
U+2A17D	𪅽	⿰朁鳥
U+2A20B	𪈋	⿰𦎫⿱攵鳥
U+2A234	𪈴	⿰矍鳥
U+2EB29	𮬩	⿰忄鳥

